dataset_size,model,ndcg_at_10,total_energy_kWh,training_energy_kWh,prediction_energy_kWh,pct_change_ndcg_at_10,delta_ndcg_at_10,pct_change_total_energy_kWh,delta_total_energy_kWh,pct_change_training_energy_kWh,delta_training_energy_kWh,pct_change_prediction_energy_kWh,delta_prediction_energy_kWh,ndcg_per_total_kWh,ndcg_per_training_kWh,ndcg_per_prediction_kWh,training_share,prediction_share
100,random_model,1.643310484969401e-05,2.943642413652269e-07,8.765929708170006e-10,2.9348764839440994e-07,-79.07151619900942,-6.208717882664286e-05,4.634424071945165,1.303785764773623e-08,-62.77607172960404,-1.4783249853143291e-09,5.203465018701281,1.4516182633050581e-08,55.82575102695624,18746.56242609162,55.99249215288957,0.002977919351723786,0.9970220806482762
10,svd_model,0.0012886224030281327,8.939774058419733e-05,2.9936229568814774e-07,8.909837828850918e-05,,,,,,,,,14.414485138072047,4304.558127689263,14.462916472569775,0.0033486561710829796,0.996651343828917
25,svd_model,0.00041780611095445125,9.649729076318607e-05,5.240591753479283e-07,9.597323158783814e-05,-67.57730503732908,-0.0008708162920736814,7.9415320035993275,7.099550178988733e-06,75.05851033887456,2.246968796597806e-07,7.716025175079522,6.874853299328957e-06,4.329718561527172,797.2498729309823,4.353360869921945,0.005430817499674904,0.9945691825003251
50,svd_model,0.00024073284768994584,0.00011695139187276644,9.30254885373608e-07,0.00011602113698739283,-42.38168342248344,-0.00017707326326450541,21.19655479217211,2.0454101109580375e-05,77.50951211874157,4.0619571002567963e-07,20.88905944696271,2.0047905399554693e-05,2.058400877792404,258.78160004853186,2.074905090062206,0.007954201061460211,0.9920457989385397
75,svd_model,0.0002835417070999277,0.0001248081100188932,1.3949181448643382e-06,0.00012341319187402888,17.782724634702916,4.2808859409981874e-05,6.717934708014628,7.856718146126768e-06,49.95010150407462,4.6466325949073023e-07,6.371300160107274,7.392054886636048e-06,2.271821174577563,203.26763125409295,2.2974991797420348,0.011176502429635207,0.9888234975703648
100,svd_model,0.0003041604299495402,0.0001084051477763354,1.5155781899731438e-06,0.00010688956958636226,7.2718483148392465,2.0618722849612494e-05,-13.142545176010401,-1.6402962242557806e-05,8.649973158141133,1.206600451088056e-07,-13.388862273761394,-1.6523622287666618e-05,2.8057747827353428,200.6893685603446,2.845557626684907,0.013980684691285399,0.9860193153087147
10,user_knn_model,2.953821821417255e-05,0.00012254734296188326,1.1082511226497443e-06,0.00012143909183923352,,,,,,,,,0.24103515833354316,26.653000940390577,0.24323484116034527,0.0090434528881989,0.9909565471118011
25,user_knn_model,0.0002545597016178828,0.00011596659010693228,3.30064614142181e-06,0.00011266594396551047,761.7977556132483,0.00022502148340371023,-5.369967798484088,-6.5807528549509826e-06,197.82475054301912,2.1923950187720653e-06,-7.224319402303614,-8.773147873723051e-06,2.195112414559697,77.12420256847855,2.259420128728599,0.02846204357977844,0.9715379564202216
50,user_knn_model,0.00011435566784082976,0.00018811349230245413,1.3321904386349411e-05,0.0001747915879161047,-55.07707342755768,-0.00014020403377705304,62.213523851132905,7.214690219552185e-05,303.61504431404364,1.0021258244927602e-05,55.14145780344437,6.212564395059423e-05,0.6079078456369601,8.58403307247925,0.6542401107753391,0.07081844169332671,0.9291815583066733
75,user_knn_model,0.00012432455763809443,0.0001800875326226667,1.8921093996261875e-05,0.00016116643862640483,8.717442681669475,9.968889797264675e-06,-4.266551846734668,-8.025959679787425e-06,42.02994892869671,5.599189609912464e-06,-7.795082962596334,-1.3625149289699871e-05,0.6903562719057784,6.570685482702875,0.7714047583212255,0.10506609602957254,0.8949339039704275
100,user_knn_model,9.333139092870738e-05,0.00014296962374873447,1.8875966048662247e-05,0.00012409365770007223,-24.929239482683187,-3.099316670938705e-05,-20.61103749569635,-3.711790887393223e-05,-0.2385060166634312,-4.512794759962865e-08,-23.002792170812892,-3.7072780926332606e-05,0.6528057392998037,4.94445638904515,0.7521044399729468,0.1320278081016446,0.8679721918983554
