model,from_dataset,to_dataset,ndcg_delta_pct,total_energy_delta_pct,ndcg_delta_abs,total_energy_delta_abs,training_energy_delta_abs,prediction_energy_delta_abs,training_energy_delta_pct,prediction_energy_delta_pct,ndcg_gain_per_total_kWh,ndcg_gain_per_training_kWh,ndcg_gain_per_prediction_kWh
random_model,10,25,-94.08746469259553,31.119096716538806,-0.000434860728794529,7.601887266547053e-08,-3.724997521958155e-09,7.97438701874287e-08,-75.73680185475115,33.31471219163329,-5720.4311711932605,116741.21290849386,-5453.218257057744
random_model,25,50,-57.470953914625944,3.3237753305713325,-1.570509530407945e-05,1.0646137017584108e-08,2.4450087628829357e-09,8.201128254701162e-09,204.88650257606486,2.5700068488444305,-1475.1919196737292,-6423.328841390902,-1914.9920372330187
random_model,50,75,723.4920446059775,-24.58935834074699,8.408365319100378e-05,-8.137815766844303e-08,-3.1818432312154786e-09,-7.819631443722758e-08,-87.45275770297091,-23.890573582424,-1033.2459667320522,-26426.082959116575,-1075.2892101903637
random_model,75,100,-79.15303359358438,18.902382054214016,-7.57538630284742e-05,4.717477425560005e-08,3.14287740686066e-10,4.686048651491403e-08,68.8452350467806,18.810859370743206,-1605.8129418495641,-241033.4646305622,-1616.5829393248923
svd_model,10,25,-36.25333536484773,2.7642281068477548,-0.0003724596843444634,2.3046416330371175e-06,3.351533480625976e-07,1.9694882849745273e-06,150.44951828738067,2.3685678492841866,-161.61284210318902,-1111.3112445318552,-189.1149529479332
svd_model,25,50,-40.57975413852981,31.320252163820328,-0.00026576524135537893,2.683469966037458e-05,2.5623685848330827e-07,2.6578462801891267e-05,45.92705943360682,31.224512023224914,-9.90379041759207,-1037.1858401967231,-9.999270587479861
svd_model,50,75,22.579257888008698,-16.7307730911073,8.786843211588963e-05,-1.8824316065613035e-05,4.066846100822714e-07,-1.9231000675695305e-05,49.9515473010677,-17.216811209004803,-4.667815383550727,216.0603817737633,-4.569103480243766
svd_model,75,100,-15.036961129623228,2.6554124195162343,-7.17299087025239e-05,2.48782433545907e-06,2.9858678722043103e-07,2.1892375482386367e-06,24.4574312775242,2.367563146010254,-28.832384859394754,-240.23135574840242,-32.76479007964878
user_knn_model,10,25,inf,-12.969237992814875,0.00043949261568090615,-1.6163353933559572e-05,2.262358448798627e-06,-1.8425712382358196e-05,347.2888604241136,-14.862206148623558,-27.190681926997744,194.26303374440445,-23.852136979067406
user_knn_model,25,50,-35.54166123025016,38.893701920539804,-0.00015620297659727297,4.2186072097682905e-05,1.1481273846873782e-05,3.070479825080913e-05,394.03194345778275,29.089941584059908,-3.702714399093167,-13.605021418403432,-5.0872497295485966
user_knn_model,50,75,-41.77479287584129,-12.493674841048252,-0.00011834365996590609,-1.88218609739505e-05,-1.132978544267616e-06,-1.7688882429682897e-05,-7.870603055009894,-12.982089296949862,6.2875642387165644,104.45357554622204,6.690284727503138
user_knn_model,75,100,6.530928145217985,19.09413454580047,1.0772503374605004e-05,2.5171655931373012e-05,2.1312645374064396e-05,3.8590105573086265e-06,160.7035440725222,3.2547041053575088,0.4279616487677538,0.5054512560751462,2.791519539692067
