model,from_dataset,to_dataset,ndcg_delta_pct,total_energy_delta_pct,ndcg_delta_abs,total_energy_delta_abs,training_energy_delta_abs,prediction_energy_delta_abs,training_energy_delta_pct,prediction_energy_delta_pct
lightgcn_model,50,75,29.524773099364253,78.22863553476887,0.00018109376112783134,0.0006798522362139246,0.0006963984162620111,-1.6546180048086365e-05,87.74247995153719,-21.952227829192093
lightgcn_model,75,100,69.79915171265125,44.50532021550615,0.0005545234348371295,0.0006893474723158087,0.0007014233823725243,-1.2075910056715556e-05,47.07277695408787,-20.527696321678878
most_popular_model,10,25,-13.308354368351461,29.56857294914361,-1.295873190307384e-05,3.305106606029678e-07,2.34745910250539e-08,3.070360695779137e-07,70.55312513589396,28.31118131476391
most_popular_model,25,50,-89.92875411371706,72.5490656686901,-7.591261853287538e-05,1.0507190505191988e-06,6.544251570823448e-08,9.852765348109643e-07,115.32368868825236,70.80472325266938
most_popular_model,50,75,225.1428851086444,-28.415824946990988,1.9140656168726182e-05,-7.101133272295526e-07,-2.153651132087342e-08,-6.885768159086791e-07,-17.6255258077034,-28.97054130181799
most_popular_model,75,100,-82.73465079983312,13.521121436955209,-2.2869690544826694e-05,2.4187842529838953e-07,2.200206627850188e-09,2.396782186705392e-07,2.185936497089913,14.196924640880294
multivae_model,10,25,71.17175584734852,196.50502429444114,0.0003173060893773897,0.0008115890197264026,0.0007977409663718938,1.3848053354508888e-05,306.1086508459022,9.0863682030615
multivae_model,25,50,-33.178586976485946,103.40652430289312,-0.0002531982607801636,0.0012663171873079752,0.001151594818683535,0.00011472236862444018,108.8105911275301,69.00478791948754
multivae_model,50,75,30.473861220921616,27.051021518705664,0.00015539819590313557,0.0006738187773564852,0.0006754661959614567,-1.6474186049715068e-06,30.56487077956742,-0.5863218490379296
multivae_model,75,100,25.958682502949838,22.214588292235725,0.00017271284925064224,0.00070303325643245,0.0006385714234218905,6.446183301055954e-05,22.131053139772348,23.077492601584314
ncf_model,10,25,-37.78689675713398,42.31084730680716,-4.869756017919257e-05,8.53339391323583e-05,6.887439882675362e-05,1.6459540305604673e-05,489.61115524981295,8.772984650663096
ncf_model,25,50,80.95946053840548,91.28427754615791,6.491057353114872e-05,0.0002620016693252121,0.00022833189165195238,3.3669777673259725e-05,275.2924913338611,16.49866753065028
ncf_model,50,75,2.5949391158988977,22.492219375261378,3.7649248018975913e-06,0.00012348655113723927,0.0001896629235974128,-6.617637246017347e-05,60.93128775794969,-27.834961269340187
ncf_model,75,100,100.80455543211069,32.891930356731194,0.00015004973419272335,0.0002212000476474531,0.00022896951024823438,-7.76946260078133e-06,45.70830164631958,-4.528473135744937
random_model,10,25,-94.03889114040194,30.531198978165186,-0.00035654509992607544,7.678931085781168e-08,1.5751874709854344e-10,7.663179211071314e-08,29.725406313608758,30.532900301411804
random_model,25,50,-58.12353147759659,7.613361334932822,-1.3136692037776025e-05,2.499468568655193e-08,4.0047903808509664e-10,2.459420664846682e-08,58.25729295720286,7.507094929019553
random_model,50,75,729.6172702723899,-20.370675954732175,6.90556441985984e-05,-7.196857023384735e-08,1.2670073232083168e-09,-7.323557755705565e-08,116.46244506353472,-20.79333135051662
random_model,75,100,-79.07151619900942,4.634424071945165,-6.208717882664286e-05,1.303785764773623e-08,-1.4783249853143291e-09,1.4516182633050581e-08,-62.77607172960404,5.203465018701281
svd_model,10,25,-67.57730503732908,7.9415320035993275,-0.0008708162920736814,7.099550178988733e-06,2.246968796597806e-07,6.874853299328957e-06,75.05851033887456,7.716025175079522
svd_model,25,50,-42.38168342248344,21.19655479217211,-0.00017707326326450541,2.0454101109580375e-05,4.0619571002567963e-07,2.0047905399554693e-05,77.50951211874157,20.88905944696271
svd_model,50,75,17.782724634702916,6.717934708014628,4.2808859409981874e-05,7.856718146126768e-06,4.6466325949073023e-07,7.392054886636048e-06,49.95010150407462,6.371300160107274
svd_model,75,100,7.2718483148392465,-13.142545176010401,2.0618722849612494e-05,-1.6402962242557806e-05,1.206600451088056e-07,-1.6523622287666618e-05,8.649973158141133,-13.388862273761394
user_knn_model,10,25,761.7977556132483,-5.369967798484088,0.00022502148340371023,-6.5807528549509826e-06,2.1923950187720653e-06,-8.773147873723051e-06,197.82475054301912,-7.224319402303614
user_knn_model,25,50,-55.07707342755768,62.213523851132905,-0.00014020403377705304,7.214690219552185e-05,1.0021258244927602e-05,6.212564395059423e-05,303.61504431404364,55.14145780344437
user_knn_model,50,75,8.717442681669475,-4.266551846734668,9.968889797264675e-06,-8.025959679787425e-06,5.599189609912464e-06,-1.3625149289699871e-05,42.02994892869671,-7.795082962596334
user_knn_model,75,100,-24.929239482683187,-20.61103749569635,-3.099316670938705e-05,-3.711790887393223e-05,-4.512794759962865e-08,-3.7072780926332606e-05,-0.2385060166634312,-23.002792170812892
